OrderID,Date,Product,Category,Region,Quantity,Price,Revenue,Year,Month,Month_Name
1076,2024-06-07,Printer,Electronics,Arusha,8,250000,2000000,2024,6,June
1077,2024-02-29,Chair,Furniture,Dodoma,4,60000,240000,2024,2,February
1078,2024-11-17,Printer,Electronics,Dar,1,250000,250000,2024,11,November
1079,2025-05-03,Laptop,Electronics,Dodoma,10,850000,8500000,2025,5,May
1080,2024-02-28,Printer,Electronics,Dodoma,3,250000,750000,2024,2,February
1081,2024-03-11,Phone,Electronics,Dodoma,3,450000,1350000,2024,3,March
1082,2025-02-17,Phone,Electronics,Dar,4,450000,1800000,2025,2,February
1083,2025-08-15,Router,Electronics,Dodoma,4,90000,360000,2025,8,August
1084,2024-03-24,Laptop,Electronics,Mbeya,10,850000,8500000,2024,3,March
1085,2025-06-19,Router,Electronics,Mwanza,10,90000,900000,2025,6,June
1086,2025-11-16,Chair,Furniture,Morogoro,4,60000,240000,2025,11,November
1087,2024-09-28,Table,Furniture,Mbeya,4,120000,480000,2024,9,September
1088,2025-04-13,Tablet,Electronics,Mwanza,5,320000,1600000,2025,4,April
1089,2025-04-14,Phone,Electronics,Dodoma,1,450000,450000,2025,4,April
1090,2024-03-16,Router,Electronics,Dodoma,2,90000,180000,2024,3,March
1091,2024-09-28,TV,Electronics,Arusha,9,950000,8550000,2024,9,September
1092,2024-09-07,Table,Furniture,Mwanza,2,120000,240000,2024,9,September
1093,2025-03-24,Chair,Furniture,Tanga,3,60000,180000,2025,3,March
1094,2025-09-18,Printer,Electronics,Tanga,5,250000,1250000,2025,9,September
1095,2025-11-14,Printer,Electronics,Tanga,1,250000,250000,2025,11,November
1096,2025-11-10,Printer,Electronics,Dar,5,250000,1250000,2025,11,November
1097,2024-04-28,Tablet,Electronics,Dar,5,320000,1600000,2024,4,April
1098,2024-10-05,Printer,Electronics,Mwanza,3,250000,750000,2024,10,October
1099,2024-12-17,Router,Electronics,Arusha,4,90000,360000,2024,12,December
1100,2025-05-15,Chair,Furniture,Mwanza,9,60000,540000,2025,5,May
1101,2025-10-11,Laptop,Electronics,Mbeya,2,850000,1700000,2025,10,October
1102,2024-01-04,Chair,Furniture,Mwanza,1,60000,60000,2024,1,January
1103,2024-06-14,Tablet,Electronics,Morogoro,5,320000,1600000,2024,6,June
1104,2025-12-23,Bed,Furniture,Mbeya,9,550000,4950000,2025,12,December
1105,2024-04-24,Printer,Electronics,Dar,1,250000,250000,2024,4,April
1106,2024-02-06,Tablet,Electronics,Tanga,9,320000,2880000,2024,2,February
1107,2025-07-19,Table,Furniture,Arusha,10,120000,1200000,2025,7,July
1108,2024-02-12,Sofa,Furniture,Mwanza,3,400000,1200000,2024,2,February
1109,2025-01-01,Table,Furniture,Arusha,1,120000,120000,2025,1,January
1110,2024-12-28,TV,Electronics,Tanga,2,950000,1900000,2024,12,December
1111,2025-09-27,Printer,Electronics,Morogoro,7,250000,1750000,2025,9,September
1112,2024-06-15,Tablet,Electronics,Tanga,4,320000,1280000,2024,6,June
1113,2024-01-26,Tablet,Electronics,Arusha,7,320000,2240000,2024,1,January
1114,2025-11-16,Table,Furniture,Tanga,7,120000,840000,2025,11,November
1115,2024-06-12,TV,Electronics,Tanga,5,950000,4750000,2024,6,June
1116,2024-02-09,Phone,Electronics,Tanga,7,450000,3150000,2024,2,February
1117,2024-07-23,Bed,Furniture,Tanga,4,550000,2200000,2024,7,July
1118,2024-11-08,Bed,Furniture,Tanga,6,550000,3300000,2024,11,November
1119,2024-01-25,TV,Electronics,Morogoro,4,950000,3800000,2024,1,January
1120,2024-12-02,TV,Electronics,Mwanza,7,950000,6650000,2024,12,December
1121,2024-12-25,Phone,Electronics,Morogoro,5,450000,2250000,2024,12,December
1122,2025-11-26,Printer,Electronics,Tanga,7,250000,1750000,2025,11,November
1123,2024-01-29,Printer,Electronics,Dar,6,250000,1500000,2024,1,January
1124,2025-08-17,Chair,Furniture,Mwanza,3,60000,180000,2025,8,August
1125,2025-09-02,Laptop,Electronics,Mbeya,2,850000,1700000,2025,9,September
1126,2025-03-22,Table,Furniture,Dodoma,6,120000,720000,2025,3,March
1127,2025-01-29,Printer,Electronics,Dodoma,2,250000,500000,2025,1,January
1128,2024-02-15,TV,Electronics,Morogoro,5,950000,4750000,2024,2,February
1129,2025-06-16,Sofa,Furniture,Tanga,1,400000,400000,2025,6,June
1130,2025-01-07,Printer,Electronics,Mbeya,4,250000,1000000,2025,1,January
1131,2025-09-30,Phone,Electronics,Mwanza,6,450000,2700000,2025,9,September
1132,2025-06-03,Phone,Electronics,Mwanza,5,450000,2250000,2025,6,June
1133,2025-02-16,Sofa,Furniture,Morogoro,6,400000,2400000,2025,2,February
1134,2024-05-10,Chair,Furniture,Arusha,9,60000,540000,2024,5,May
1135,2025-11-24,Sofa,Furniture,Morogoro,7,400000,2800000,2025,11,November
1136,2025-08-05,Tablet,Electronics,Mwanza,10,320000,3200000,2025,8,August
1137,2024-01-01,Sofa,Furniture,Mwanza,9,400000,3600000,2024,1,January
1138,2025-03-16,Chair,Furniture,Tanga,4,60000,240000,2025,3,March
1139,2025-11-01,Router,Electronics,Mwanza,10,90000,900000,2025,11,November
1140,2025-03-28,Bed,Furniture,Morogoro,8,550000,4400000,2025,3,March
1141,2025-04-29,TV,Electronics,Tanga,9,950000,8550000,2025,4,April
1142,2024-10-17,Tablet,Electronics,Dodoma,2,320000,640000,2024,10,October
1143,2024-04-05,Router,Electronics,Tanga,6,90000,540000,2024,4,April
1144,2024-08-18,TV,Electronics,Tanga,5,950000,4750000,2024,8,August
1145,2024-01-26,TV,Electronics,Dar,3,950000,2850000,2024,1,January
1146,2025-09-17,TV,Electronics,Tanga,8,950000,7600000,2025,9,September
1147,2025-02-28,Phone,Electronics,Morogoro,8,450000,3600000,2025,2,February
1148,2025-12-14,Router,Electronics,Mbeya,4,90000,360000,2025,12,December
1149,2024-09-06,Bed,Furniture,Arusha,7,550000,3850000,2024,9,September
1150,2025-03-11,Laptop,Electronics,Arusha,2,850000,1700000,2025,3,March
1151,2025-04-20,Tablet,Electronics,Dar,9,320000,2880000,2025,4,April
1152,2024-05-04,Printer,Electronics,Mbeya,4,250000,1000000,2024,5,May
1153,2025-11-14,Tablet,Electronics,Dodoma,8,320000,2560000,2025,11,November
1154,2024-11-20,Printer,Electronics,Tanga,10,250000,2500000,2024,11,November
1155,2025-05-31,Bed,Furniture,Mbeya,10,550000,5500000,2025,5,May
1156,2024-06-11,Printer,Electronics,Morogoro,8,250000,2000000,2024,6,June
1157,2024-09-22,Bed,Furniture,Tanga,8,550000,4400000,2024,9,September
1158,2025-06-17,TV,Electronics,Mbeya,5,950000,4750000,2025,6,June
1159,2025-03-26,TV,Electronics,Dar,5,950000,4750000,2025,3,March
1160,2024-10-05,Chair,Furniture,Mwanza,4,60000,240000,2024,10,October
1161,2024-03-23,Table,Furniture,Arusha,9,120000,1080000,2024,3,March
1162,2025-01-27,Tablet,Electronics,Morogoro,4,320000,1280000,2025,1,January
1163,2024-03-06,Tablet,Electronics,Mbeya,4,320000,1280000,2024,3,March
1164,2025-07-09,Sofa,Furniture,Mbeya,6,400000,2400000,2025,7,July
1165,2024-07-30,Sofa,Furniture,Tanga,1,400000,400000,2024,7,July
1166,2025-08-21,Sofa,Furniture,Morogoro,7,400000,2800000,2025,8,August
1167,2025-01-24,Laptop,Electronics,Mbeya,10,850000,8500000,2025,1,January
1168,2024-11-01,Laptop,Electronics,Tanga,6,850000,5100000,2024,11,November
1169,2025-07-05,Sofa,Furniture,Morogoro,7,400000,2800000,2025,7,July
1170,2024-08-13,Printer,Electronics,Mbeya,10,250000,2500000,2024,8,August
1171,2025-03-22,TV,Electronics,Mbeya,5,950000,4750000,2025,3,March
1172,2024-12-10,Laptop,Electronics,Morogoro,7,850000,5950000,2024,12,December
1173,2025-04-23,Sofa,Furniture,Arusha,3,400000,1200000,2025,4,April
1174,2024-01-28,Router,Electronics,Mbeya,9,90000,810000,2024,1,January
1175,2025-11-09,Router,Electronics,Dar,10,90000,900000,2025,11,November
1176,2024-05-18,Phone,Electronics,Tanga,7,450000,3150000,2024,5,May
1177,2024-02-21,Bed,Furniture,Mwanza,3,550000,1650000,2024,2,February
1178,2024-08-04,Sofa,Furniture,Mbeya,6,400000,2400000,2024,8,August
1179,2025-01-23,Table,Furniture,Mwanza,6,120000,720000,2025,1,January
1180,2024-03-24,Sofa,Furniture,Mbeya,5,400000,2000000,2024,3,March
1181,2024-02-23,Laptop,Electronics,Mwanza,9,850000,7650000,2024,2,February
1182,2025-10-29,TV,Electronics,Dar,2,950000,1900000,2025,10,October
1183,2024-07-23,Laptop,Electronics,Tanga,4,850000,3400000,2024,7,July
1184,2024-06-05,Laptop,Electronics,Arusha,10,850000,8500000,2024,6,June
1185,2025-11-16,Tablet,Electronics,Dar,8,320000,2560000,2025,11,November
1186,2025-04-21,Router,Electronics,Morogoro,4,90000,360000,2025,4,April
1187,2024-06-20,Chair,Furniture,Dodoma,6,60000,360000,2024,6,June
1188,2024-06-16,Router,Electronics,Mwanza,2,90000,180000,2024,6,June
1189,2024-01-27,Phone,Electronics,Mwanza,10,450000,4500000,2024,1,January
1190,2025-02-10,Router,Electronics,Morogoro,7,90000,630000,2025,2,February
1191,2025-08-29,TV,Electronics,Morogoro,2,950000,1900000,2025,8,August
1192,2025-12-14,TV,Electronics,Tanga,2,950000,1900000,2025,12,December
1193,2024-05-03,Chair,Furniture,Tanga,10,60000,600000,2024,5,May
1194,2024-12-21,Router,Electronics,Dodoma,1,90000,90000,2024,12,December
1195,2024-03-11,Sofa,Furniture,Dodoma,6,400000,2400000,2024,3,March
1196,2025-03-06,Table,Furniture,Tanga,1,120000,120000,2025,3,March
1197,2025-03-19,Bed,Furniture,Mwanza,2,550000,1100000,2025,3,March
1198,2025-03-21,Bed,Furniture,Arusha,3,550000,1650000,2025,3,March
1199,2025-09-22,Printer,Electronics,Tanga,5,250000,1250000,2025,9,September
1200,2025-04-21,Printer,Electronics,Mbeya,8,250000,2000000,2025,4,April
